"filename", "language", "JavaScript JSX", "PostCSS", "XML", "TypeScript JSX", "JSON", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\CreatePost.jsx", "JavaScript JSX", 307, 0, 0, 0, 0, 0, 0, 3, 32, 342
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\ImageDropzone.jsx", "JavaScript JSX", 93, 0, 0, 0, 0, 0, 0, 1, 12, 106
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\ImageModal.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\PostCard.jsx", "JavaScript", 0, 0, 0, 0, 0, -101, 0, 0, -23, -124
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\CommentCard.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Comments.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\ImageCarousel.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Likes.css", "PostCSS", 0, 22, 0, 0, 0, 0, 0, 2, 4, 28
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Likes.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 0, 7, 15, 117
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\NoComments.css", "PostCSS", 0, 13, 0, 0, 0, 0, 0, 1, 8, 22
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\NoComments.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\PostCard.jsx", "JavaScript JSX", 156, 0, 0, 0, 0, 0, 0, 0, 15, 171
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Posts.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\SelectedPostPage.jsx", "JavaScript JSX", 171, 0, 0, 0, 0, 0, 0, 9, 22, 202
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Share.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 0, 0, 3, 6, 71
"c:\Users\Σταύρος\Desktop\wrotit\src\Posts.jsx", "JavaScript", 0, 0, 0, 0, 0, -21, 0, 0, -2, -23
"c:\Users\Σταύρος\Desktop\wrotit\src\Searchbar.jsx", "JavaScript", 0, 0, 0, 0, 0, -32, 0, -3, -10, -45
"c:\Users\Σταύρος\Desktop\wrotit\src\SelectedPostPage.jsx", "JavaScript", 0, 0, 0, 0, 0, -165, 0, -8, -18, -191
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\CommunitySchema.js", "JavaScript", 0, 0, 0, 0, 0, -20, 0, 0, -4, -24
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\CommunityServer.js", "JavaScript", 0, 0, 0, 0, 0, -45, 0, 0, -6, -51
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\PostModel.js", "JavaScript", 0, 0, 0, 0, 0, -37, 0, -1, -5, -43
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\PostServer.js", "JavaScript", 0, 0, 0, 0, 0, -116, 0, -4, -14, -134
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\UserModel.js", "JavaScript", 0, 0, 0, 0, 0, -14, 0, -1, -3, -18
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\UserServer.js", "JavaScript", 0, 0, 0, 0, 0, -96, 0, -16, -27, -139
"c:\Users\Σταύρος\Desktop\wrotit\src\Share.jsx", "JavaScript", 0, 0, 0, 0, 0, -64, 0, -1, -6, -71
"c:\Users\Σταύρος\Desktop\wrotit\src\Signup.jsx", "JavaScript", 0, 0, 0, 0, 0, -139, 0, -1, -13, -153
"c:\Users\Σταύρος\Desktop\wrotit\src\Wrot.tsx", "TypeScript JSX", 0, 0, 0, -16, 0, 0, 0, 0, -2, -18
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\CommunitySchema.js", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 4, 5, 25
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\CommunityServer.js", "JavaScript JSX", 64, 0, 0, 0, 0, 0, 0, 1, 11, 76
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\PostModel.js", "JavaScript JSX", 37, 0, 0, 0, 0, 0, 0, 1, 5, 43
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\PostServer.js", "JavaScript JSX", 115, 0, 0, 0, 0, 0, 0, 5, 16, 136
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserModel.js", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserServer.js", "JavaScript JSX", 147, 0, 0, 0, 0, 0, 0, 22, 23, 192
"c:\Users\Σταύρος\Desktop\wrotit\src\firebase\Firebase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -13, -5, -2, -20
"c:\Users\Σταύρος\Desktop\wrotit\src\images\imageDefault.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\next.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"c:\Users\Σταύρος\Desktop\wrotit\src\images\previous.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"c:\Users\Σταύρος\Desktop\wrotit\src\isLoggedIn.jsx", "JavaScript", 0, 0, 0, 0, 0, -5, 0, -1, -1, -7
"Total", "-", 2528, 0, 24, 0, 136, -1621, -13, 77, 90, 1221
